GRID_CD,lat,lon,population,pop_density_norm
나마99b07a,35.35584794882006,126.39661432352686,0,0.0
나마64b07b,35.35622487043488,126.01141061519344,0,0.0
나마63b92a,36.11770531595407,125.98605602570932,0,0.0
나마64b06a,35.34270406723452,126.01165871508712,0,0.0
나마88a31a,35.5709781443405,126.26676767035826,0,0.0
나마85b31a,35.57069277569495,126.23918448812961,0,0.0
나마89a38a,35.634191902057744,126.27684103789507,0,0.0
나마85b77b,35.989847209575224,126.23254782728199,0,0.0
나마85b76b,35.980833455286444,126.2326919978378,0,0.0
나마91a36b,35.62089237260337,126.29912755593588,0,0.0
나마65b06b,35.347346004896615,126.02257774169078,13,0.0018105849582172701
나마75a41b,35.66407135926402,126.12171636457765,0,0.0
나마95a30a,35.56272885602284,126.3441320832329,0,0.0
나마92a36b,35.62100192380271,126.31016792081448,0,0.0
나마90b35a,35.607315437598004,126.29381044158941,8,0.0011142061281337048
나마96a62a,35.85130047272836,126.35103210936268,38,0.0052924791086350976
나마99a62b,35.85612076757543,126.38418638213297,0,0.0
나마66a07a,35.35192009731827,126.02799683930513,0,0.0
나마68b09b,35.374787083030455,126.05510149251593,8,0.0011142061281337048
나마66b07a,35.351986982700616,126.03349804430609,0,0.0
나마97a37a,35.62604187674819,126.36530693752914,0,0.0
나마98b00a,35.29264023132951,126.38647555356538,23,0.003203342618384401
나마62a92b,36.12199981847092,125.96930659147853,0,0.0
나마93a62a,35.850978222619226,126.31781519782568,0,0.0
나마86b32b,35.58432932124278,126.25000761430123,0,0.0
나마77a08b,35.366855344373526,126.14880212967032,0,0.0
나마98b57a,35.80648964725656,126.37934721051599,0,0.0
나마75b00a,35.29004740234404,126.13358496282399,0,0.0
나마88b03a,35.31862263315263,126.27611189369787,0,0.0
나마89b33b,35.59368266781505,126.28297679005556,5,0.0006963788300835655
나마98b02b,35.315178431562124,126.38616667550517,0,0.0
나마64b90b,36.1043262057425,125.99742167297535,0,0.0
나마62a91b,36.11298727741421,125.96948154354324,0,0.0
나마76b01a,35.2991855956145,126.14442919100391,0,0.0
나마99b07b,35.36035556405596,126.3965529944627,5,0.0006963788300835655
나마99a56b,35.80203384011853,126.38494336060288,0,0.0
나마62b93a,36.126576952995485,125.97477368417341,0,0.0
나마98a36b,35.621637991077606,126.37641133620578,0,0.0
나마95b62b,35.85575456635193,126.34543056979197,0,0.0
나마99b05b,35.34232508234534,126.39679822904165,13,0.0018105849582172701
나마88b33b,35.59357069923105,126.27194028863128,5,0.0006963788300835655
나마96b62a,35.851353288586935,126.35656831223108,0,0.0
나마87a33a,35.58889363937908,126.25545542221543,0,0.0
나마88a32a,35.57999263151188,126.26662947257766,5,0.0006963788300835655
나마90a36b,35.620781810025434,126.28808725090991,0,0.0
나마89b36b,35.62072614947502,126.28256712101341,0,0.0
나마91a35b,35.61187783778545,126.29926231565348,0,0.0
나마88b34a,35.598077936404906,126.27187142989433,0,0.0
나마90b38a,35.6343589664559,126.29340421493777,0,0.0
나마98b62b,35.85606921826666,126.3786497948783,0,0.0
나마75b39a,35.64159977680774,126.1276247233157,0,0.0
나마98b03b,35.3241936874278,126.38604302823967,0,0.0
나마63a05a,35.33348590610882,125.99532434576686,0,0.0
나마71b12a,35.39771275270053,126.08772587486094,0,0.0
나마65a05b,35.338264728328504,126.01724161277554,0,0.0
나마89a33b,35.59362680981574,126.27745853173462,0,0.0
나마99a00a,35.29269072667323,126.39197352107527,0,0.0
나마66a05b,35.33839918304036,126.028242136418,0,0.0
나마86b78a,35.994470780262475,126.24356761414953,0,0.0
나마66a07b,35.356427061679796,126.02791503729162,0,0.0
나마98a62b,35.85601741390381,126.37311322171927,0,0.0
나마90a33a,35.58923100487543,126.28856297949382,5,0.0006963788300835655
나마99a04b,35.3332595001937,126.39142003853641,13,0.0018105849582172701
나마86a31b,35.57525756184161,126.24463076678458,0,0.0
나마99b59a,35.82462135599381,126.39016260813086,0,0.0
나마90a34a,35.598245538087525,126.28842713247674,0,0.0
나마99b01a,35.301756296066415,126.397349211192,0,0.0
나마98b02a,35.31067079843729,126.38622847855152,13,0.0018105849582172701
나마94b62a,35.851140495151846,126.33442358767566,0,0.0
나마93a62b,35.855485342765206,126.31774828068467,18,0.0025069637883008357
나마64b91a,36.10883254293656,125.99733583023401,0,0.0
나마64a08a,35.360663888823765,126.00582613561484,0,0.0
나마90b35b,35.611822701134344,126.29374277472154,5,0.0006963788300835655
